Topic,Content
['thời sự'],"['hai', 'cháu', 'điện', 'giật', 'cẩu', 'cần cẩu', 'vướng', 'đường dây', 'trung', 'khi', 'di chuyển', 'lộc vừng', 'phóng điện', 'hai', 'ngồi', 'cabin', 'bỏng', 'chiều', '254']"
['thời sự'],"['miền', 'bắc', 'tuần', 'mưa giông', 'hai', 'đợt', 'không khí', 'lạnh', 'tràn', 'khiến', 'tuần', 'miền', 'bắc', 'mưa giông', 'điểm', 'mưa', 'to', 'giông', 'nền', 'nhiệt', '35', 'độ', 'c']"
['thời sự'],"['phục', 'dựng', 'hoàng cung', 'thăng long', 'thời', 'lý', '10', 'hoàng thành', 'thăng long', 'công nhận', 'di sản', 'thế giới', 'đầu tiên', 'nhà khoa học', 'phục', 'dựng', '3', 'd', 'thành công', 'kiến trúc', 'hoàng cung', 'thời', 'lý']"
['thời sự'],"['hà', 'nội', 'có', 'tám', 'năm', '2025', 'hà nội', 'có', 'năm', 'hoài', 'đức', 'gia', 'lâm', 'đông', 'thanh trì', 'đan', 'phượng', 'năm', '2030', 'ba', 'thanh oai', 'thường tín', 'mê', 'linh']"
['thời sự'],"['chín', 'bảo vật', 'quốc gia', 'quảng ninh', 'hộp', 'vàng', 'ngọa', 'vân yên tử', 'trống đồng', 'quảng chính', 'bình', 'gốm', 'đầu', 'rằm', '3', 'số', '9', 'bảo vật', 'quốc gia', 'quảng ninh']"
['thời sự'],"['thấy', 'hai', 'thi thể', 'học sinh', 'nạn', 'tắm', 'biển', 'ba', 'bị', 'sóng', 'mất tích', 'thi thể', 'hai', 'học sinh', 'lớp', '6', 'trường', 'thcs', 'hoằng', 'hải', 'huyện', 'hoằng hóa', 'tìm', 'cách', 'bị', 'nạn', '10', 'km']"
['thời sự'],"['hai', 'tàu', 'cá', 'cháy', 'rụi', 'hai', 'tàu', 'cá', 'ngư dân', 'xã', 'ngư lộc', 'huyện', 'hậu lộc', 'neo', 'đậu', 'bến', 'phát hỏa', 'nghi', 'chập', 'điện']"
['thời sự'],"['chậm', 'cải tạo', 'rạch', 'xuyên tâm', 'có', 'nguy cơ', 'vốn', 'dự án', 'cải tạo', 'rạch', 'xuyên tâm', '8', 'km', 'đi', 'quận', 'bình thạnh', 'gò', 'vấp', 'tổng', 'đầu tư', '9300', 'tỷ', 'đồng', 'không', 'đẩy', 'sẽ', 'nguy cơ', 'vốn']"
['thời sự'],"['dừng', 'nổ mìn', 'phá', 'núi', 'dự án', 'dự án', 'haborizon', 'xây', 'biệt thự', 'núi', 'xã', 'phước', 'đồng', 'tp', 'nha', 'trang bị', 'buộc', 'dừng', 'nổ mìn', 'thi công', 'phải', 'rà soát', 'quy hoạch', 'thủ tục', 'đầu tư']"
['thời sự'],"['siết', 'chặt', 'biên giới', 'tây nam', 'chống', 'dịch', 'covid19', 'diễn biến', 'phức tạp', 'campuchia', 'tỉnh', 'biên giới', 'tây', 'nam', 'tăng cường', 'lập', 'chốt', 'ngăn chặn', 'vượt biên', 'xây dựng', 'kịch bản', 'tình huống', 'xấu']"
